,code,deck_limit,faction_code,faction_cost,flavor,illustrator,influence_limit,keywords,minimum_deck_size,pack_code,position,quantity,side_code,stripped_text,stripped_title,text,title,type_code,uniqueness,base_link,cost,memory_cost,strength,advancement_cost,agenda_points,trash_cost,faction,name,nrdb_key,num_ratings,ranking,rating,side,torb_id,count,decklists
0,01054,1,haas-bioroid,0,Effective. Reliable. Humane.,,15.0,Megacorp,45.0,core,54,1,corp,"The first time you install a card each turn, gain 1 credit.",Haas-Bioroid: Engineering the Future,"The first time you install a card each turn, gain 1[credit].",Haas-Bioroid: Engineering the Future,identity,False,,,,,,,,haas-bioroid,Haas-Bioroid: Engineering the Future,01054,77,12,1992.0,corp,54,229,229
1,01055,3,haas-bioroid,0,,Rachel Borovic,,Research,,core,55,3,corp,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.",Accelerated Beta Test,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.",Accelerated Beta Test,agenda,False,,,,,3.0,2.0,,haas-bioroid,Accelerated Beta Test,01055,112,75,1841.0,corp,55,1236,441
2,01066,3,haas-bioroid,1,"Floyd felt the anger in the man before him, ranting against simulants. His programming pushed a routine rebuttal to the front of his thoughts, and the urge to speak it was overwhelming. This is only going to make things worse, he thought.",Mauricio Herrera,,,,core,66,2,corp,All ice protecting this server has +1 strength.,Experiential Data,All ice protecting this server has +1 strength.,Experiential Data,upgrade,False,,2.0,,,,,2.0,haas-bioroid,Experiential Data,01066,93,882,1209.0,corp,66,67,36
3,01073,3,jinteki,3,"There was a new texture in her phantom cortex. It had always been there, she realized. It was everything and nothing.",Alexandra Douglass,,,,core,73,2,corp,Look at the top 5 cards of R&D and arrange them in any order.,Precognition,Look at the top 5 cards of R&D and arrange them in any order.,Precognition,operation,False,,0.0,,,,,,jinteki,Precognition,01073,95,815,1269.0,corp,73,90,43
4,01075,3,jinteki,1,"""You ever get that feeling like you're shark food? Pay attention to that feeling."" -Ji ""Noise"" Reilly",Ed Mattinian,,Code Gate,,core,75,2,corp,"Subroutine The next piece of ice the Runner encounters during this run gets +2 strength. When that encounter ends, if the Runner did not fully break that ice, do 3 net damage.",Chum,"[subroutine] The next piece of ice the Runner encounters during this run gets +2 strength. When that encounter ends, if the Runner did not fully break that ice, do 3 net damage.",Chum,ice,False,,1.0,,4.0,,,,jinteki,Chum,01075,113,666,1361.0,corp,75,405,198
5,01076,3,jinteki,2,Access HarmlessFile.datZ -> Are you sure? y/n,Andrew Mar,,Trap - AP,,core,76,2,corp,Subroutine Do 1 net damage. Trash Data Mine.,Data Mine,[subroutine] Do 1 net damage. Trash Data Mine.,Data Mine,ice,False,,0.0,,2.0,,,,jinteki,Data Mine,01076,118,754,1304.0,corp,76,181,82
6,01079,3,jinteki,2,Just don't ask how he does it.,Mike Nesbitt,,Sysop - Unorthodox,,core,79,1,corp,The rez cost of ice protecting this server is lowered by 2.,Akitaro Watanabe,The rez cost of ice protecting this server is lowered by 2.,Akitaro Watanabe,upgrade,True,,1.0,,,,,3.0,jinteki,Akitaro Watanabe,01079,105,753,1304.0,corp,79,76,48
7,01081,1,nbn,0,,Matt Zeilinger,,Initiative,,core,81,2,corp,"When you score this agenda, place 1 agenda counter on it. Hosted agenda counter: Place 1 advancement counter on an installed card you can advance. Limit 1 per deck.",AstroScript Pilot Program,"When you score this agenda, place 1 agenda counter on it.
<strong>Hosted agenda counter:</strong> Place 1 advancement counter on an installed card you can advance.
Limit 1 per deck.",AstroScript Pilot Program,agenda,False,,,,,3.0,2.0,,nbn,AstroScript Pilot Program,01081,104,1,2132.0,corp,81,1127,484
8,01082,3,nbn,0,,Imaginary FS Pte Ltd,,,,core,82,2,corp,"When you score Breaking News, give the Runner 2 tags. When the turn on which you scored Breaking News ends, the Runner loses 2 tags.",Breaking News,"When you score Breaking News, give the Runner 2 tags.
When the turn on which you scored Breaking News ends, the Runner loses 2 tags.",Breaking News,agenda,False,,,,,2.0,1.0,,nbn,Breaking News,01082,121,5,2055.0,corp,82,872,378
9,01089,3,nbn,2,Analyzing was great. Delegating commands turned out to be even better.,Isuardi Therianto,,Sentry - Tracer - Observer,,core,89,3,corp,"When the Runner encounters Matrix Analyzer, you may pay 1 credit to place 1 advancement token on a card that can be advanced. Subroutine Trace[2]. If successful, give the Runner 1 tag.",Matrix Analyzer,"When the Runner encounters Matrix Analyzer, you may pay 1[credit] to place 1 advancement token on a card that can be advanced.
[subroutine] Trace[2]. If successful, give the Runner 1 tag.",Matrix Analyzer,ice,False,,1.0,,3.0,,,,nbn,Matrix Analyzer,01089,107,827,1263.0,corp,89,179,86
